date,symbol,equity,account_day_pl,round_trips,symbol_cash_pl,cumulative_vs_10k
2026-06-16,CCL,10429.08,-254.87,0,0,429.08
2026-06-18,HOOD|INTC|MARA|ROKU|AFRM|RIVN|RIOT|CVNA|DKNG|CCL,10569.8,0,0,0,569.8
2026-06-19,HOOD|INTC|MARA|AFRM|ROKU|CVNA|RIVN|DKNG|SOFI,10567.86,0,0,0,567.86
2026-06-22,10507.31,-60.55,20,11,9,9,-44.27,0
2026-06-23,TQQQ|SQQQ,10232.68,-274.59,0,0,232.68
2026-06-24,TQQQ|SQQQ,10231.11,-1.43,1,-156.87,231.11
2026-06-26,TQQQ|SQQQ,10219.37,-205.47,1,-205.47,219.37
2026-06-29,TQQQ|SQQQ,9990.26,-229.07,1,-229.07,-9.74
2026-06-30,TQQQ|SQQQ,9990.22,0,0,0,-9.78
2026-07-02,TQQQ|SQQQ,9514.23,-475.99,0,-9705.99,-485.77
2026-07-03,TQQQ|SQQQ,9452.97,0,0,0,-547.03
2026-07-06,TQQQ|SQQQ,9744.22,291.25,0,0,-255.78
2026-07-07,TQQQ|SQQQ,9297.97,-538.75,0,0,-702.03
2026-07-08,TQQQ|SQQQ,9404.22,91.25,0,0,-595.78
2026-07-09,TQQQ|SQQQ,9600.86,226.64,0,9316.64,-399.14
2026-07-10,TQQQ|SQQQ,9600.82,0,0,0,-399.18
2026-07-13,TQQQ|SQQQ,9600.82,0,0,0,-399.18
2026-07-14,TQQQ|SQQQ,9684.64,83.82,0,0,-315.36
2026-07-15,TQQQ|SQQQ,9826.21,143.6,0,0,-173.79
2026-07-16,TQQQ|SQQQ,9760.52,-71.89,0,0,-239.48
2026-07-17,TQQQ|SQQQ,9760.5,0,0,0,-239.5
2026-07-20,TQQQ|SQQQ,9628.63,-131.87,0,0,-371.37
2026-07-21,TQQQ|SQQQ,10218.29,588.99,0,0,218.29
2026-07-22,TQQQ|SQQQ,10052.35,-159.13,0,0,52.35
2026-07-23,TQQQ|SQQQ,10052.35,10052.35,0,0,52.35
